origin_airport_code,origin_airport,origin_airport_id,origin_airport_latitude,origin_airport_longitude,origin_city,origin_country,destination_airport_code,destination_airport,destination_airport_id,destination_airport_latitude,destination_airport_longitude,destination_city,destination_country
AMS,Amsterdam Airport Schiphol,580,52.308601,4.76389,Amsterdam,Netherlands,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
AMS,Amsterdam Airport Schiphol,580,52.308601,4.76389,Amsterdam,Netherlands,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
AMS,Amsterdam Airport Schiphol,580,52.308601,4.76389,Amsterdam,Netherlands,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
AMS,Amsterdam Airport Schiphol,580,52.308601,4.76389,Amsterdam,Netherlands,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ANC,Ted Stevens Anchorage International Airport,3774,61.174400329589844,-149.9960022,Anchorage,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
ANC,Ted Stevens Anchorage International Airport,3774,61.174400329589844,-149.9960022,Anchorage,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ANC,Ted Stevens Anchorage International Airport,3774,61.174400329589844,-149.9960022,Anchorage,United States,SEA,Seattle Tacoma International Airport,3577,47.449001,-122.308998,Seattle,United States
ANU,V.C. Bird International Airport,2874,17.1367,-61.792702,Antigua,Antigua and Barbuda,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
AOO,Altoona Blair County Airport,3694,40.29639816,-78.31999969,Altoona,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
AOO,Altoona Blair County Airport,3694,40.29639816,-78.31999969,Altoona,United States,JST,John Murtha Johnstown Cambria County Airport,4169,40.31610107421875,-78.83390045,Johnstown,United States
ARN,Stockholm-Arlanda Airport,737,59.65190125,17.91860008,Stockholm,Sweden,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
ASB,Ashgabat International Airport,2976,37.986801,58.361,Ashkhabad,Turkmenistan,GYD,Heydar Aliyev International Airport,2922,40.467498779296875,50.04669952392578,Baku,Azerbaijan
ASE,Aspen-Pitkin Co/Sardy Field,7001,39.22320175,-106.8690033,Aspen,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
ASE,Aspen-Pitkin Co/Sardy Field,7001,39.22320175,-106.8690033,Aspen,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,FRA,Frankfurt am Main Airport,340,50.033333,8.570556,Frankfurt,Germany
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,LGA,La Guardia Airport,3697,40.77719879,-73.87259674,New York,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,YYZ,Lester B. Pearson International Airport,193,43.67720032,-79.63059998,Toronto,Canada
ATW,Appleton International Airport,4047,44.258098602299995,-88.51909637,Appleton,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
AUA,Queen Beatrix International Airport,2895,12.5014,-70.015198,Oranjestad,Aruba,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
AUA,Queen Beatrix International Airport,2895,12.5014,-70.015198,Oranjestad,Aruba,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
AUH,Abu Dhabi International Airport,2179,24.433000564575195,54.651100158691406,Abu Dhabi,United Arab Emirates,FRA,Frankfurt am Main Airport,340,50.033333,8.570556,Frankfurt,Germany
AUH,Abu Dhabi International Airport,2179,24.433000564575195,54.651100158691406,Abu Dhabi,United Arab Emirates,MCT,Muscat International Airport,2194,23.593299865722656,58.284400939941406,Muscat,Oman
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,CUN,Cancún International Airport,1852,21.036500930800003,-86.87709808,Cancun,Mexico
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
AVL,Asheville Regional Airport,4007,35.43619918823242,-82.54180145,Asheville,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
AVP,Wilkes Barre Scranton International Airport,4286,41.338500976599995,-75.7233963,Scranton,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BAH,Bahrain International Airport,2057,26.27079963684082,50.63359832763672,Bahrain,Bahrain,DOH,Hamad International Airport,11051,25.273056,51.608056,Doha,Qatar
BAH,Bahrain International Airport,2057,26.27079963684082,50.63359832763672,Bahrain,Bahrain,KWI,Kuwait International Airport,2176,29.226600646972656,47.96889877319336,Kuwait,Kuwait
BAQ,Ernesto Cortissoz International Airport,2710,10.8896,-74.7808,Barranquilla,Colombia,MIA,Miami International Airport,3576,25.79319953918457,-80.29060364,Miami,United States
BCN,Barcelona International Airport,1218,41.2971,2.07846,Barcelona,Spain,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BDA,L.F. Wade International International Airport,4069,32.36399841308594,-64.67870331,Bermuda,Bermuda,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BDL,Bradley International Airport,3825,41.93889999,-72.68319702,Windsor Locks,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BDL,Bradley International Airport,3825,41.93889999,-72.68319702,Windsor Locks,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BDL,Bradley International Airport,3825,41.93889999,-72.68319702,Windsor Locks,United States,YUL,Montreal / Pierre Elliott Trudeau International Airport,146,45.47060013,-73.74079895,Montreal,Canada
BDL,Bradley International Airport,3825,41.93889999,-72.68319702,Windsor Locks,United States,YYZ,Lester B. Pearson International Airport,193,43.67720032,-79.63059998,Toronto,Canada
BFD,Bradford Regional Airport,5722,41.80310059,-78.64009857,Bradford,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
BFD,Bradford Regional Airport,5722,41.80310059,-78.64009857,Bradford,United States,JHW,Chautauqua County-Jamestown Airport,7059,42.15340042,-79.25800323,Jamestown,United States
BFL,Meadows Field,3558,35.43360138,-119.0569992,Bakersfield,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
BFL,Meadows Field,3558,35.43360138,-119.0569992,Bakersfield,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BFL,Meadows Field,3558,35.43360138,-119.0569992,Bakersfield,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
BFL,Meadows Field,3558,35.43360138,-119.0569992,Bakersfield,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
BFS,Belfast International Airport,465,54.65750122,-6.215829849,Belfast,United Kingdom,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BGM,Greater Binghamton/Edwin A Link field,4129,42.20869827,-75.97979736,Binghamton,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BHM,Birmingham-Shuttlesworth International Airport,3811,33.56290054,-86.75350189,Birmingham,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
BHM,Birmingham-Shuttlesworth International Airport,3811,33.56290054,-86.75350189,Birmingham,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BHM,Birmingham-Shuttlesworth International Airport,3811,33.56290054,-86.75350189,Birmingham,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BHX,Birmingham International Airport,469,52.453899383499994,-1.748029947,Birmingham,United Kingdom,BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium
BHX,Birmingham International Airport,469,52.453899383499994,-1.748029947,Birmingham,United Kingdom,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BIL,Billings Logan International Airport,4021,45.807701110839844,-108.5429993,Billings,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
BIM,South Bimini Airport,1937,25.69989967,-79.26470184,Alice Town,Bahamas,FLL,Fort Lauderdale Hollywood International Airport,3533,26.072599,-80.152702,Fort Lauderdale,United States
BIS,Bismarck Municipal Airport,4083,46.772701263427734,-100.7460022,Bismarck,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
BJL,Banjul International Airport,1050,13.338000297546387,-16.6522007,Banjul,Gambia,DKR,Léopold Sédar Senghor International Airport,1084,14.739700317382812,-17.49020004,Dakar,Senegal
BJM,Bujumbura International Airport,1120,-3.324019909,29.318500518798828,Bujumbura,Burundi,NBO,Jomo Kenyatta International Airport,4059,-1.319239974,36.92779922,Nairobi,Kenya
BJX,Del Bajío International Airport,1815,20.9935,-101.481003,Del Bajio,Mexico,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BJX,Del Bajío International Airport,1815,20.9935,-101.481003,Del Bajio,Mexico,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
BKK,Suvarnabhumi Airport,3885,13.681099891662598,100.74700164794922,Bangkok,Thailand,NRT,Narita International Airport,2279,35.76470184,140.3860016,Tokyo,Japan
BKW,Raleigh County Memorial Airport,5724,37.787300109899995,-81.12419891,Beckley,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BKW,Raleigh County Memorial Airport,5724,37.787300109899995,-81.12419891,Beckley,United States,SHD,Shenandoah Valley Regional Airport,7062,38.26380157,-78.89640045,Weyers Cave,United States
BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BOG,El Dorado International Airport,2709,4.70159,-74.1469,Bogota,Colombia,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BOG,El Dorado International Airport,2709,4.70159,-74.1469,Bogota,Colombia,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BOG,El Dorado International Airport,2709,4.70159,-74.1469,Bogota,Colombia,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BOG,El Dorado International Airport,2709,4.70159,-74.1469,Bogota,Colombia,JFK,John F Kennedy International Airport,3797,40.63980103,-73.77890015,New York,United States
BOG,El Dorado International Airport,2709,4.70159,-74.1469,Bogota,Colombia,MIA,Miami International Airport,3576,25.79319953918457,-80.29060364,Miami,United States
BOI,Boise Air Terminal/Gowen Field,3495,43.5644,-116.223,Boise,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
BOI,Boise Air Terminal/Gowen Field,3495,43.5644,-116.223,Boise,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
BOI,Boise Air Terminal/Gowen Field,3495,43.5644,-116.223,Boise,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BOI,Boise Air Terminal/Gowen Field,3495,43.5644,-116.223,Boise,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
BOM,Chhatrapati Shivaji International Airport,2997,19.08869934,72.86789703,Mumbai,India,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BON,Flamingo International Airport,2896,12.130999565124512,-68.26850128,Kralendijk,Netherlands Antilles,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BON,Flamingo International Airport,2896,12.130999565124512,-68.26850128,Kralendijk,Netherlands Antilles,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,DUB,Dublin Airport,599,53.421299,-6.27007,Dublin,Ireland
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,FRA,Frankfurt am Main Airport,340,50.033333,8.570556,Frankfurt,Germany
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,MUC,Munich Airport,346,48.353802,11.7861,Munich,Germany
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,PTY,Tocumen International Airport,1871,9.071359634,-79.38349915,Panama City,Panama
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,YHZ,Halifax / Stanfield International Airport,73,44.88079834,-63.50859833,Halifax,Canada
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,YOW,Ottawa Macdonald-Cartier International Airport,100,45.32249832,-75.66919708,Ottawa,Canada
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,YUL,Montreal / Pierre Elliott Trudeau International Airport,146,45.47060013,-73.74079895,Montreal,Canada
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,YYZ,Lester B. Pearson International Airport,193,43.67720032,-79.63059998,Toronto,Canada
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,ZRH,Zürich Airport,1678,47.464699,8.54917,Zurich,Switzerland
BQN,Rafael Hernandez Airport,2885,18.49489974975586,-67.12940216,Aguadilla,Puerto Rico,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BRO,Brownsville South Padre Island International Airport,3738,25.90679931640625,-97.42590332,Brownsville,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,ABJ,Port Bouet Airport,253,5.261390209197998,-3.926290035,Abidjan,Cote d'Ivoire
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,BHX,Birmingham International Airport,469,52.453899383499994,-1.748029947,Birmingham,United Kingdom
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,BJM,Bujumbura International Airport,1120,-3.324019909,29.318500518798828,Bujumbura,Burundi
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,COO,Cadjehoun Airport,245,6.357230186462402,2.384350061416626,Cotonou,Benin
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,DKR,Léopold Sédar Senghor International Airport,1084,14.739700317382812,-17.49020004,Dakar,Senegal
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,DLA,Douala International Airport,897,4.006080151,9.719479560849999,Douala,Cameroon
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,FNA,Lungi International Airport,1059,8.61644,-13.1955,Freetown,Sierra Leone
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,GOT,Gothenburg-Landvetter Airport,687,57.66279984,12.27980042,Gothenborg,Sweden
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,HAJ,Hannover Airport,352,52.46110153,9.685079574580001,Hannover,Germany
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,JFK,John F Kennedy International Airport,3797,40.63980103,-73.77890015,New York,United States
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,KGL,Kigali International Airport,1165,-1.96863,30.1395,Kigali,Rwanda
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,LAD,Quatro de Fevereiro Airport,951,-8.85837,13.2312,Luanda,Angola
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,MAN,Manchester Airport,478,53.35369873046875,-2.274950027,Manchester,United Kingdom
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,NSI,Yaoundé Nsimalen International Airport,4161,3.722559928894043,11.553299903869629,Yaounde,Cameroon
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,OUA,Ouagadougou Airport,246,12.3532,-1.51242,Ouagadougou,Burkina Faso
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,PRG,Václav Havel Airport Prague,1587,50.1008,14.26,Prague,Czech Republic
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,SXB,Strasbourg Airport,1435,48.538299560546875,7.628230094909668,Strasbourg,France
BTR,Baton Rouge Metropolitan Airport,3846,30.533199,-91.149597,Baton Rouge,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BTV,Burlington International Airport,3711,44.471900939899996,-73.15329742,Burlington,United States,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BTV,Burlington International Airport,3711,44.471900939899996,-73.15329742,Burlington,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BTV,Burlington International Airport,3711,44.471900939899996,-73.15329742,Burlington,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BUF,Buffalo Niagara International Airport,3820,42.94049835,-78.73220062,Buffalo,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
